Subj	pHit	nTR	pCR	nLR
s1295	0.79	100	0.33	100
s1859	0.77	100	0.66	100
s1875	0.683673469387755	98	0.469387755102041	98
s1949	0.893617021276596	94	0.6	90
s2439	0.727272727272727	99	0.2	100
s2575	0.69	100	0.41	100
s3013	0.576086956521739	92	0.617021276595745	94
s3018	0.848484848484849	99	0.28	100
s3023	0.89	100	0.28	100
s3031	0.84	100	0.371134020618557	97
s3042	0.866666666666667	75	0.392405063291139	79
s3043	0.81	100	0.4	100
s3046	0.650793650793651	63	0.597014925373134	67
s3075	0.88	100	0.23	100
s3223	0.887755102040816	98	0.177083333333333	96
s3425	0.775510204081633	98	0.363636363636364	99
s3710	0.63265306122449	98	0.54639175257732	97
s3711	0.6875	96	0.612903225806452	93
s3712	0.775510204081633	98	0.474747474747475	99
s3735	0.806122448979592	98	0.38	100
s3746	0.83	100	0.474747474747475	99
s3761	0.818181818181818	99	0.489795918367347	98
s3762	0.8	100	0.63	100
s3763	0.78	100	0.54	100
s3767	0.818181818181818	99	0.34	100
s3768	0.783505154639175	97	0.54639175257732	97
s3775	0.946236559139785	93	0.270833333333333	96
s3778	0.626262626262626	99	0.464646464646465	99
s3783	0.93	100	0.41	100
s3786	0.63	100	0.494949494949495	99
s3816	0.8	100	0.54	100
s3849	0.8125	96	0.494845360824742	97
s3850	0.8	100	0.57	100
s3851	0.852631578947368	95	0.270833333333333	96
s3852	0.82	100	0.33	100
