Subj	pHH	nHpR	pFH	nFpR
s1295	0.708860759493671	79	0.432835820895522	67
s1859	0.896103896103896	77	0.441176470588235	34
s1875	0.671875	64	0.46	50
s1949	0.867469879518072	83	0.485714285714286	35
s2439	0.605633802816901	71	0.4625	80
s2575	0.608695652173913	69	0.559322033898305	59
s3013	0.697674418604651	43	0.342857142857143	35
s3018	0.325301204819277	83	0.611111111111111	72
s3023	0.793103448275862	87	0.577464788732394	71
s3031	0.55421686746988	83	0.639344262295082	61
s3042	0.8	60	0.547619047619048	42
s3043	0.827160493827161	81	0.483333333333333	60
s3046	0.722222222222222	36	0.571428571428571	21
s3075	0.636363636363636	88	0.473684210526316	76
s3223	0.55952380952381	84	0.445945945945946	74
s3425	0.608108108108108	74	0.435483870967742	62
s3710	0.721311475409836	61	0.613636363636364	44
s3711	0.5	54	0.454545454545455	33
s3712	0.789473684210526	76	0.52	50
s3735	0.684210526315789	76	0.573770491803279	61
s3746	0.780487804878049	82	0.666666666666667	51
s3761	0.653846153846154	78	0.51063829787234	47
s3762	0.7875	80	0.25	36
s3763	0.833333333333333	78	0.577777777777778	45
s3767	0.8375	80	0.348484848484849	66
s3768	0.853333333333333	75	0.477272727272727	44
s3775	0.811764705882353	85	0.385714285714286	70
s3778	0.693548387096774	62	0.557692307692308	52
s3783	0.582417582417582	91	0.649122807017544	57
s3786	0.793650793650794	63	0.46	50
s3816	0.7625	80	0.347826086956522	46
s3849	0.5	78	0.571428571428571	49
s3850	0.775	80	0.48780487804878	41
s3851	0.753086419753086	81	0.463768115942029	69
s3852	0.829268292682927	82	0.522388059701492	67
