Subj	pFHV	nFHC	pFFV	nFFC
s1295	0.310344827586207	29	0.315789473684211	38
s1859	1	15	1	19
s1875	0.434782608695652	23	0.481481481481481	27
s1949	0.352941176470588	17	0.388888888888889	18
s2439	0.378378378378378	37	0.465116279069767	43
s2575	0.242424242424242	33	0.384615384615385	26
s3013	0.333333333333333	12	0.565217391304348	23
s3018	0.545454545454545	44	0.5	28
s3023	0.51219512195122	41	0.366666666666667	30
s3031	0.333333333333333	39	0.363636363636364	22
s3042	0.260869565217391	23	0.210526315789474	19
s3043	0.448275862068966	29	0.387096774193548	31
s3046	0.75	12	0.888888888888889	9
s3075	0.444444444444444	36	0.4	40
s3223	0.636363636363636	33	0.414634146341463	41
s3425	0.296296296296296	27	0.171428571428571	35
s3710	0.777777777777778	27	0.941176470588235	17
s3711	0.266666666666667	15	0.166666666666667	18
s3712	0.192307692307692	26	0.208333333333333	24
s3735	0.685714285714286	35	0.576923076923077	26
s3746	0.176470588235294	34	0.235294117647059	17
s3761	0.5	24	0.521739130434783	23
s3762	0.444444444444444	9	0.37037037037037	27
s3763	0.230769230769231	26	0.157894736842105	19
s3767	0.130434782608696	23	0.581395348837209	43
s3768	0.571428571428571	21	0.521739130434783	23
s3775	0.62962962962963	27	0.767441860465116	43
s3778	0.655172413793103	29	0.695652173913043	23
s3783	0.351351351351351	37	0.1	20
s3786	0.0434782608695652	23	0.0740740740740741	27
s3816	0.3125	16	0.333333333333333	30
s3849	0.464285714285714	28	0.0952380952380952	21
s3850	0.35	20	0.333333333333333	21
s3851	0.125	32	0.189189189189189	37
s3852	0.4	35	0.28125	32
