Subj	pHit	nSR
s1295	0.59	200
s1859	0.765	200
s1875	0.577319587628866	194
s1949	0.775510204081633	196
s2439	0.527638190954774	199
s2575	0.587939698492462	199
s3013	0.547619047619048	168
s3018	0.477386934673367	199
s3023	0.700507614213198	197
s3031	0.613065326633166	199
s3042	0.728813559322034	177
s3043	0.62	200
s3046	0.503067484662577	163
s3075	0.55050505050505	198
s3223	0.521052631578947	190
s3425	0.538071065989848	197
s3710	0.65989847715736	197
s3711	0.529069767441861	172
s3712	0.702020202020202	198
s3735	0.634020618556701	194
s3746	0.752525252525252	198
s3761	0.604166666666667	192
s3762	0.636363636363636	198
s3763	0.708542713567839	199
s3767	0.606060606060606	198
s3768	0.681818181818182	198
s3775	0.635897435897436	195
s3778	0.603015075376884	199
s3783	0.635897435897436	195
s3786	0.59	200
s3816	0.626262626262626	198
s3849	0.56	200
s3850	0.712121212121212	198
s3851	0.621212121212121	198
s3852	0.675	200
