Subj	pHV	nHit	pFV	nFA
s1295	0.5	118	0.365853658536585	82
s1859	1	153	1	47
s1875	0.410714285714286	112	0.439024390243902	82
s1949	0.664473684210526	152	0.409090909090909	44
s2439	0.419047619047619	105	0.340425531914894	94
s2575	0.35042735042735	117	0.207317073170732	82
s3013	0.456521739130435	92	0.473684210526316	76
s3018	0.505263157894737	95	0.557692307692308	104
s3023	0.644927536231884	138	0.322033898305085	59
s3031	0.434426229508197	122	0.272727272727273	77
s3042	0.441860465116279	129	0.0833333333333333	48
s3043	0.57258064516129	124	0.236842105263158	76
s3046	0.841463414634146	82	0.753086419753086	81
s3075	0.477064220183486	109	0.370786516853933	89
s3223	0.484848484848485	99	0.395604395604396	91
s3425	0.386792452830189	106	0.21978021978022	91
s3710	0.823076923076923	130	0.73134328358209	67
s3711	0.406593406593407	91	0.419753086419753	81
s3712	0.338129496402878	139	0.169491525423729	59
s3735	0.75609756097561	123	0.661971830985915	71
s3746	0.456375838926175	149	0.102040816326531	49
s3761	0.629310344827586	116	0.434210526315789	76
s3762	0.571428571428571	126	0.291666666666667	72
s3763	0.432624113475177	141	0.137931034482759	58
s3767	0.591666666666667	120	0.512820512820513	78
s3768	0.637037037037037	135	0.46031746031746	63
s3775	0.782258064516129	124	0.732394366197183	71
s3778	0.616666666666667	120	0.544303797468354	79
s3783	0.516129032258065	124	0.197183098591549	71
s3786	0.245762711864407	118	0.109756097560976	82
s3816	0.556451612903226	124	0.337837837837838	74
s3849	0.473214285714286	112	0.386363636363636	88
s3850	0.539007092198582	141	0.315789473684211	57
s3851	0.398373983739837	123	0.173333333333333	75
s3852	0.466666666666667	135	0.307692307692308	65
