Subj	Num.CrFa	Dist.CrFa	Num.CrHit	Dist.CrHit
s1295	13	164	20	219
s1859	14	170	52	207
s1875	22	213	24	221
s1949	10	202	42	212
s2439	10	171	10	216
s2575	17	213	23	207
s3013	24	204	22	188
s3018	7	211	21	239
s3023	6	224	22	215
s3031	5	159	31	226
s3042	5	189	21	184
s3043	23	224	17	202
s3046	24	220	10	210
s3075	11	227	11	261
s3223	4	194	12	239
s3425	11	234	25	219
s3710	15	178	38	215
s3711	18	213	29	187
s3712	13	170	34	211
s3735	13	211	23	203
s3746	8	158	39	204
s3761	18	181	29	237
s3762	20	211	43	210
s3763	17	205	37	209
s3767	18	225	15	216
s3768	18	212	34	207
s3775	9	194	15	258
s3778	17	211	29	217
s3783	10	186	30	193
s3786	20	185	29	207
s3816	15	203	37	221
s3849	14	171	34	225
s3850	10	202	47	217
s3851	10	232	16	189
s3852	14	225	19	210
