Subj	Hit	FA	CR	Miss	NR
s1295	79	67	33	21	0
s1859	77	34	66	23	0
s1875	67	52	46	31	4
s1949	84	36	54	10	16
s2439	72	80	20	27	1
s2575	69	59	41	31	0
s3013	53	36	58	39	14
s3018	84	72	28	15	1
s3023	89	72	28	11	0
s3031	84	61	36	16	3
s3042	65	48	31	10	46
s3043	81	60	40	19	0
s3046	41	27	40	22	70
s3075	88	77	23	12	0
s3223	87	79	17	11	6
s3425	76	63	36	22	3
s3710	62	44	53	36	5
s3711	66	36	57	30	11
s3712	76	52	47	22	3
s3735	79	62	38	19	2
s3746	83	52	47	17	1
s3761	81	50	48	18	3
s3762	80	37	63	20	0
s3763	78	46	54	22	0
s3767	81	66	34	18	1
s3768	76	44	53	21	6
s3775	88	70	26	5	11
s3778	62	53	46	37	2
s3783	93	59	41	7	0
s3786	63	50	49	37	1
s3816	80	46	54	20	0
s3849	78	49	48	18	7
s3850	80	43	57	20	0
s3851	81	70	26	14	9
s3852	82	67	33	18	0
