Subj	Hit-Hit	Hit-FA	Hit-NR	FA-Hit	FA-FA	FA-NR	Miss-Hit	Miss-FA	Miss-NR	CR-Hit	CR-FA	CR-NR	NR-Hit	NR-FA	NR-NR
s1295	56	23	0	29	38	0	13	8	0	20	13	0	0	0	0
s1859	69	8	0	15	19	0	17	6	0	52	14	0	0	0	0
s1875	43	21	3	23	27	2	18	12	1	24	22	0	4	0	0
s1949	72	11	1	17	18	1	9	1	0	42	10	2	12	4	0
s2439	43	28	1	37	43	0	15	12	0	10	10	0	0	1	0
s2575	42	27	0	33	26	0	19	12	0	23	17	1	0	0	0
s3013	30	13	10	12	23	1	23	9	7	22	24	12	5	7	2
s3018	27	56	1	44	28	0	2	13	0	21	7	0	1	0	0
s3023	69	18	2	41	30	1	6	5	0	22	6	0	0	0	0
s3031	46	37	1	39	22	0	5	11	0	31	5	0	1	2	0
s3042	48	12	5	23	19	6	6	4	0	21	5	5	31	8	7
s3043	67	14	0	29	31	0	11	8	0	17	23	0	0	0	0
s3046	26	10	5	12	9	6	5	13	4	10	24	6	29	25	16
s3075	56	32	0	36	40	1	6	6	0	11	11	1	0	0	0
s3223	47	37	3	33	41	5	5	5	1	12	4	1	2	4	0
s3425	45	29	2	27	35	1	9	13	0	25	11	0	0	3	0
s3710	44	17	1	27	17	0	20	14	2	38	15	0	1	4	0
s3711	27	27	12	15	18	3	13	14	3	29	18	10	7	4	0
s3712	60	16	0	26	24	2	16	6	0	34	13	0	3	0	0
s3735	52	24	3	35	26	1	12	7	0	23	13	2	1	1	0
s3746	64	18	1	34	17	1	11	6	0	39	8	0	1	0	0
s3761	51	27	3	24	23	3	10	7	1	29	18	1	2	1	0
s3762	63	17	0	9	27	1	11	8	1	43	20	0	0	0	0
s3763	65	13	0	26	19	1	13	9	0	37	17	0	0	0	0
s3767	67	13	1	23	43	0	14	4	0	15	18	1	1	0	0
s3768	64	11	1	21	23	0	14	7	0	34	18	1	2	4	0
s3775	69	16	3	27	43	0	3	2	0	15	9	2	10	1	0
s3778	43	19	0	29	23	1	19	18	0	29	17	0	0	2	0
s3783	53	38	2	37	20	2	4	3	0	30	10	1	0	0	0
s3786	50	13	0	23	27	0	15	22	0	29	20	0	1	0	0
s3816	61	19	0	16	30	0	10	10	0	37	15	2	0	0	0
s3849	39	39	0	28	21	0	5	13	0	34	14	0	6	1	0
s3850	62	18	0	20	21	2	12	8	0	47	10	0	0	0	0
s3851	61	20	0	32	37	1	10	4	0	16	10	0	4	4	1
s3852	68	14	0	35	32	0	13	5	0	19	14	0	0	0	0
