Subj	Hit-Hit-V	Hit-Hit-S	Hit-Hit-NR	Hit-FA-V	Hit-FA-S	Hit-FA-NR	Hit-NR-V	Hit-NR-S	Hit-NR-NR	FA-Hit-V	FA-Hit-S	FA-Hit-NR	FA-FA-V	FA-FA-S	FA-FA-NR	FA-NR-V	FA-NR-S	FA-NR-NR	Miss-Hit-V	Miss-Hit-S	Miss-Hit-NR	Miss-FA-V	Miss-FA-S	Miss-FA-NR	Miss-NR-V	Miss-NR-S	Miss-NR-NR	CR-Hit-V	CR-Hit-S	CR-Hit-NR	CR-FA-V	CR-FA-S	CR-FA-NR	CR-NR-V	CR-NR-S	CR-NR-NR	NR-Hit-V	NR-Hit-S	NR-Hit-NR	NR-FA-V	NR-FA-S	NR-FA-NR	NR-NR-V	NR-NR-S	NR-NR-NR
s1295	36	20	0	10	13	0	0	0	0	9	20	0	12	26	0	0	0	0	4	9	0	3	5	0	0	0	0	10	10	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0
s1859	69	0	0	8	0	0	0	0	0	15	0	0	19	0	0	0	0	0	17	0	0	6	0	0	0	0	0	52	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s1875	25	18	0	8	13	0	0	0	3	10	13	0	13	14	0	0	0	2	6	12	0	6	6	0	0	0	1	5	19	0	9	13	0	0	0	0	0	4	0	0	0	0	0	0	0
s1949	53	19	0	3	8	0	0	0	1	6	11	0	7	11	0	0	0	1	3	6	0	1	0	0	0	0	0	33	9	0	4	6	0	0	0	2	6	6	0	3	1	0	0	0	0
s2439	23	20	0	5	23	0	0	0	1	14	23	0	20	23	0	0	0	0	6	9	0	5	7	0	0	0	0	1	9	0	2	8	0	0	0	0	0	0	0	0	1	0	0	0	0
s2575	21	21	0	6	21	0	0	0	0	8	25	0	10	16	0	0	0	0	9	10	0	0	12	0	0	0	0	3	20	0	1	16	0	0	0	1	0	0	0	0	0	0	0	0	0
s3013	16	14	0	4	9	0	0	0	10	4	8	0	13	10	0	0	0	1	8	15	0	3	6	0	0	0	7	13	9	0	12	12	0	0	0	12	1	4	0	4	3	0	0	0	2
s3018	12	15	0	34	22	0	0	0	1	24	20	0	14	14	0	0	0	0	1	1	0	7	6	0	0	0	0	11	10	0	3	4	0	0	0	0	0	1	0	0	0	0	0	0	0
s3023	55	14	0	5	13	0	0	0	2	21	20	0	11	19	0	0	0	1	1	5	0	2	3	0	0	0	0	12	10	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
s3031	16	30	0	7	30	0	0	0	1	13	26	0	8	14	0	0	0	0	0	5	0	3	8	0	0	0	0	23	8	0	2	3	0	0	0	0	1	0	0	1	1	0	0	0	0
s3042	24	24	0	0	12	0	0	0	5	6	17	0	4	15	0	0	0	6	2	4	0	0	4	0	0	0	0	12	9	0	0	5	0	0	0	5	13	18	0	0	8	0	0	0	7
s3043	44	23	0	3	11	0	0	0	0	13	16	0	12	19	0	0	0	0	6	5	0	0	8	0	0	0	0	8	9	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0
s3046	22	4	0	7	3	0	0	0	5	9	3	0	8	1	0	0	0	6	5	0	0	11	2	0	0	0	4	9	1	0	16	8	0	0	0	6	24	5	0	19	6	0	0	0	16
s3075	28	28	0	8	24	0	0	0	0	16	20	0	16	24	0	0	0	1	4	2	0	3	3	0	0	0	0	4	7	0	6	5	0	0	0	1	0	0	0	0	0	0	0	0	0
s3223	22	25	0	15	22	0	0	0	3	21	12	0	17	24	0	0	0	5	0	5	0	0	5	0	0	0	1	5	7	0	3	1	0	0	0	1	0	2	0	1	3	0	0	0	0
