Subj	Hit	FA	NR
s1295	118	82	0
s1859	153	47	0
s1875	112	82	6
s1949	152	44	4
s2439	105	94	1
s2575	117	82	1
s3013	92	76	32
s3018	95	104	1
s3023	138	59	3
s3031	122	77	1
s3042	129	48	23
s3043	124	76	0
s3046	82	81	37
s3075	109	89	2
s3223	99	91	10
s3425	106	91	3
s3710	130	67	3
s3711	91	81	28
s3712	139	59	2
s3735	123	71	6
s3746	149	49	2
s3761	116	76	8
s3762	126	72	2
s3763	141	58	1
s3767	120	78	2
s3768	135	63	2
s3775	124	71	5
s3778	120	79	1
s3783	124	71	5
s3786	118	82	0
s3816	124	74	2
s3849	112	88	0
s3850	141	57	2
s3851	123	75	2
s3852	135	65	0
