Subj	Hit-V	Hit-S	Hit-NR	FA-V	FA-S	FA-NR	NR-V	NR-S	NR-NR
s1295	59	59	0	30	52	0	0	0	0
s1859	153	0	0	47	0	0	0	0	0
s1875	46	66	0	36	46	0	0	0	6
s1949	101	51	0	18	26	0	0	0	4
s2439	44	61	0	32	62	0	0	0	1
s2575	41	76	0	17	65	0	0	0	1
s3013	42	50	0	36	40	0	0	0	32
s3018	48	47	0	58	46	0	0	0	1
s3023	89	49	0	19	40	0	0	0	3
s3031	53	69	0	21	56	0	0	0	1
s3042	57	72	0	4	44	0	0	0	23
s3043	71	53	0	18	58	0	0	0	0
s3046	69	13	0	61	20	0	0	0	37
s3075	52	57	0	33	56	0	0	0	2
s3223	48	51	0	36	55	0	0	0	10
s3425	41	65	0	20	71	0	0	0	3
s3710	107	23	0	49	18	0	0	0	3
s3711	37	54	0	34	47	0	0	0	28
s3712	47	92	0	10	49	0	0	0	2
s3735	93	30	0	47	24	0	0	0	6
s3746	68	81	0	5	44	0	0	0	2
s3761	73	43	0	33	43	0	0	0	8
s3762	72	54	0	21	51	0	0	0	2
s3763	61	80	0	8	50	0	0	0	1
s3767	71	49	0	40	38	0	0	0	2
s3768	86	49	0	29	34	0	0	0	2
s3775	97	27	0	52	19	0	0	0	5
s3778	74	46	0	43	36	0	0	0	1
s3783	64	60	0	14	57	0	0	0	5
s3786	29	89	0	9	73	0	0	0	0
s3816	69	55	0	25	49	0	0	0	2
s3849	53	59	0	34	54	0	0	0	0
s3850	76	65	0	18	39	0	0	0	2
s3851	49	74	0	13	62	0	0	0	2
s3852	63	72	0	20	45	0	0	0	0
