Stimulus	KeyPress	RT	Behavior	Image	StimType
14	1	81	FA-FA-V	1227	Lure
139	1	18	FA-FA-S	591	Lure
216	1	183	Hit-Hit-S	9	Targ
79	1	184	Hit-Hit-V	42	Targ
186	1	169	FA-FA-V	838	Lure
167	2	12	CR-Hit-S	732	Lure
99	1	101	FA-Hit-V	482	Lure
12	1	187	Hit-FA-V	11	Targ
82	2	83	Miss-Hit-S	439	Targ
161	2	48	Miss-Hit-V	70	Targ
107	1	58	FA-Hit-V	502	Lure
155	1	94	FA-Hit-V	682	Lure
158	1	164	FA-Hit-V	692	Lure
29	1	180	Hit-Hit-V	293	Targ
92	1	46	Hit-FA-S	458	Targ
164	1	177	FA-Hit-V	722	Lure
115	1	28	FA-Hit-S	527	Lure
103	2	24	CR-Hit-V	496	Lure
189	2	98	CR-FA-S	844	Lure
108	2	191	CR-Hit-V	510	Lure
22	1	6	Hit-Hit-V	20	Targ
199	2	130	CR-Hit-S	867	Lure
39	1	174	Hit-FA-S	32	Targ
148	1	155	FA-Hit-S	632	Lure
188	2	86	CR-Hit-V	843	Lure
104	2	65	CR-FA-S	499	Lure
196	1	122	FA-FA-V	856	Lure
47	1	3	Hit-FA-V	344	Targ
109	1	4	FA-Hit-S	514	Lure
154	1	8	FA-FA-S	681	Lure
172	1	166	FA-FA-S	782	Lure
151	1	66	FA-FA-V	661	Lure
97	1	72	FA-FA-S	475	Lure
74	1	63	Hit-Hit-V	417	Targ
111	1	69	Hit-FA-V	51	Targ
152	1	27	FA-FA-V	663	Lure
45	2	105	Miss-Hit-V	340	Targ
169	2	128	CR-Hit-V	757	Lure
6	2	96	CR-Hit-V	1088	Lure
63	2	162	Miss-FA-S	388	Targ
181	1	64	FA-FA-S	830	Lure
157	1	156	Hit-FA-V	68	Targ
175	1	37	FA-Hit-S	810	Lure
66	1	36	Hit-Hit-V	391	Targ
114	2	47	CR-FA-S	526	Lure
147	1	46	FA-Hit-S	620	Lure
85	1	165	Hit-FA-V	444	Targ
153	1	189	FA-Hit-S	679	Lure
121	2	98	CR-Hit-S	541	Lure
43	2	140	Miss-Hit-S	336	Targ
187	1	84	Hit-Hit-V	83	Targ
192	2	133	CR-Hit-V	849	Lure
49	2	117	Miss-Hit-S	352	Targ
38	1	76	Hit-FA-S	324	Targ
3	1	15	FA-FA-V	1019	Lure
168	2	2	CR-Hit-V	753	Lure
141	2	126	CR-FA-S	596	Lure
119	1	5	Hit-Hit-V	53	Targ
27	1	163	Hit-FA-S	24	Targ
24	1	44	Hit-Hit-V	232	Targ
116	1	57	FA-Hit-S	530	Lure
83	1	153	Hit-Hit-V	441	Targ
70	1	74	Hit-Hit-S	406	Targ
55	2	100	Miss-Hit-S	369	Targ
44	2	10	Miss-FA-V	339	Targ
2	2	56	CR-FA-V	1004	Lure
60	1	104	Hit-FA-S	381	Targ
113	1	170	FA-Hit-S	521	Lure
87	2	32	Miss-FA-S	450	Targ
21	1	49	Hit-Hit-V	17	Targ
17	1	131	Hit-Hit-V	144	Targ
182	2	26	CR-Hit-S	833	Lure
133	1	168	FA-FA-S	571	Lure
53	1	29	Hit-Hit-S	364	Targ
90	1	22	Hit-Hit-V	454	Targ
86	1	23	Hit-Hit-S	448	Targ
35	1	132	Hit-Hit-S	317	Targ
72	1	178	Hit-Hit-S	412	Targ
178	2	173	Miss-FA-S	81	Targ
18	1	9	Hit-Hit-S	15	Targ
71	1	144	Hit-Hit-V	408	Targ
98	2	154	CR-FA-V	481	Lure
117	1	88	FA-Hit-V	535	Lure
190	1	127	FA-Hit-S	845	Lure
41	2	80	Miss-Hit-S	332	Targ
15	1	136	Hit-FA-S	123	Targ
143	1	62	FA-FA-S	605	Lure
76	1	31	Hit-Hit-S	41	Targ
77	1	190	Hit-Hit-S	422	Targ
59	1	181	Hit-Hit-S	380	Targ
56	1	33	Hit-Hit-V	373	Targ
52	1	30	Hit-Hit-S	363	Targ
142	2	90	Miss-Hit-V	59	Targ
102	2	148	CR-Hit-V	494	Lure
50	1	115	Hit-Hit-S	356	Targ
67	1	61	Hit-FA-S	393	Targ
184	2	97	CR-Hit-V	835	Lure
62	2	150	Miss-FA-V	387	Targ
8	1	12	Hit-Hit-V	111	Targ
101	1	87	FA-FA-S	490	Lure
106	1	138	FA-FA-V	501	Lure
42	2	59	Miss-Hit-S	334	Targ
75	1	45	Hit-Hit-S	418	Targ
68	1	77	Hit-FA-S	396	Targ
126	1	109	FA-FA-V	549	Lure
100	2	102	CR-Hit-S	488	Lure
69	1	17	Hit-Hit-V	401	Targ
120	1	146	FA-FA-S	540	Lure
179	1	40	FA-Hit-V	824	Lure
145	2	16	CR-FA-S	616	Lure
122	1	108	FA-FA-S	544	Lure
31	1	21	Hit-FA-V	29	Targ
80	1	7	Hit-Hit-S	431	Targ
173	2	95	CR-Hit-S	786	Lure
88	1	53	Hit-Hit-V	452	Targ
46	1	13	Hit-FA-V	342	Targ
150	1	25	FA-Hit-V	654	Lure
129	1	159	FA-Hit-V	551	Lure
61	1	160	Hit-FA-S	386	Targ
162	1	20	FA-FA-S	710	Lure
130	1	186	Hit-Hit-V	55	Targ
123	1	151	FA-FA-V	545	Lure
128	2	19	CR-Hit-S	550	Lure
166	1	139	FA-FA-S	729	Lure
10	2	122	CR-FA-V	1148	Lure
11	2	14	Miss-FA-S	117	Targ
156	2	55	CR-Hit-S	684	Lure
195	1	91	FA-FA-S	854	Lure
32	1	192	Hit-Hit-V	306	Targ
118	1	113	FA-Hit-S	539	Lure
30	1	167	Hit-Hit-V	297	Targ
112	1	137	FA-FA-V	520	Lure
105	1	182	Hit-FA-V	49	Targ
132	1	171	FA-FA-S	565	Lure
25	1	161	Hit-Hit-S	23	Targ
26	1	185	Hit-Hit-S	248	Targ
57	1	175	Hit-Hit-V	375	Targ
176	2	147	CR-Hit-V	812	Lure
73	1	34	Hit-Hit-V	413	Targ
124	2	38	CR-FA-S	546	Lure
7	1	93	Hit-FA-S	110	Targ
33	1	181	Hit-FA-V	30	Targ
34	1	121	Hit-Hit-V	315	Targ
149	1	68	Hit-Hit-V	63	Targ
191	1	79	FA-FA-S	847	Lure
37	2	11	Miss-Hit-S	31	Targ
78	1	39	Hit-Hit-V	427	Targ
94	1	158	Hit-Hit-V	467	Targ
93	1	179	Hit-Hit-V	464	Targ
1	1	52	FA-Hit-S	1000	Lure
159	1	78	FA-FA-S	696	Lure
125	1	29	FA-FA-S	548	Lure
171	1	172	FA-Hit-S	775	Lure
160	1	142	FA-Hit-S	700	Lure
65	1	36	Hit-Hit-V	390	Targ
194	2	70	CR-FA-V	853	Lure
136	2	116	CR-Hit-S	582	Lure
165	1	89	FA-Hit-S	725	Lure
9	1	54	Hit-FA-S	112	Targ
135	1	124	FA-FA-S	579	Lure
146	1	188	Hit-FA-S	61	Targ
5	1	51	FA-FA-S	1056	Lure
134	1	43	FA-FA-S	576	Lure
4	1	141	FA-FA-S	1031	Lure
36	1	67	Hit-Hit-V	319	Targ
137	1	123	FA-Hit-S	588	Lure
180	1	152	FA-Hit-S	827	Lure
140	1	85	FA-FA-S	592	Lure
81	1	98	Hit-Hit-V	437	Targ
13	1	75	Hit-Hit-V	121	Targ
16	1	82	Hit-Hit-S	124	Targ
198	1	114	FA-FA-S	861	Lure
177	2	103	CR-FA-S	814	Lure
131	1	111	FA-Hit-S	563	Lure
64	2	143	Miss-FA-S	38	Targ
144	2	127	CR-Hit-S	606	Lure
185	1	106	FA-FA-S	837	Lure
91	1	107	Hit-Hit-V	457	Targ
19	1	60	Hit-Hit-V	166	Targ
127	1	135	Hit-Hit-S	54	Targ
197	2	110	CR-FA-V	860	Lure
174	1	119	FA-Hit-S	797	Lure
58	1	120	Hit-Hit-S	378	Targ
193	1	42	FA-FA-S	851	Lure
89	1	149	Hit-Hit-V	453	Targ
48	1	99	Hit-FA-S	349	Targ
23	2	118	Miss-Hit-V	22	Targ
28	2	73	Miss-Hit-S	292	Targ
170	1	112	FA-FA-S	764	Lure
84	2	92	Miss-FA-V	443	Targ
95	2	157	Miss-Hit-S	469	Targ
51	1	134	Hit-Hit-S	35	Targ
54	1	71	Hit-Hit-V	366	Targ
163	2	35	CR-FA-S	713	Lure
40	1	125	Hit-FA-V	331	Targ
20	1	50	Hit-Hit-V	177	Targ
96	1	176	FA-Hit-S	474	Lure
183	1	145	FA-FA-V	834	Lure
138	1	41	FA-FA-V	589	Lure
110	1	129	FA-Hit-S	518	Lure
