Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
453a.jpg	1	2736	Hit	1	453	V
1019b.jpg	3	4259	Hit	2	1019	S
112a.jpg	4	2543	FA	4	112	V
63b.jpg	1	2990	FA	4	63	V
845b.jpg	3	2977	Hit	2	845	S
32b.jpg	1	2877	FA	4	32	V
378b.jpg	4	2478	Hit	1	378	V
319a.jpg	3	3838	FA	3	319	S
616b.jpg	1	2679	FA	4	616	V
540a.jpg	2	3014	Hit	2	540	S
488a.jpg	4	3520	FA	4	488	V
592b.jpg	3	3468	Hit	2	592	S
867b.jpg	3	3912	Hit	2	867	S
117a.jpg	3	3371	FA	3	117	S
1088b.jpg	4	2835	Hit	1	1088	V
514a.jpg	1	4180	Hit	1	514	V
441a.jpg	4	2979	FA	4	441	V
1056b.jpg	4	1873	Hit	1	1056	V
53b.jpg	1	3430	FA	4	53	V
1148b.jpg	4	2544	Hit	1	1148	V
324a.jpg	4	2193	FA	4	324	V
860b.jpg	1	3106	FA	4	860	V
123a.jpg	1	3284	Hit	1	123	V
35b.jpg	3	3183	Hit	2	35	S
20b.jpg	2	2774	FA	3	20	S
464a.jpg	2	2558	Hit	2	464	S
443a.jpg	3	3698	FA	3	443	S
412a.jpg	NR	0	NR	NR	412	NR
17b.jpg	1	3286	FA	4	17	V
340b.jpg	4	3185	Hit	1	340	V
854b.jpg	4	3237	Hit	1	854	V
474a.jpg	2	3142	Hit	2	474	S
297a.jpg	1	2251	Hit	1	297	V
388b.jpg	1	1850	FA	4	388	V
834b.jpg	4	2095	Hit	1	834	V
375b.jpg	1	1991	FA	4	375	V
22b.jpg	1	2699	FA	4	22	V
427a.jpg	1	2671	Hit	1	427	V
352b.jpg	3	3900	Hit	2	352	S
551b.jpg	1	2836	FA	4	551	V
315a.jpg	4	2764	FA	4	315	V
713a.jpg	3	3862	FA	3	713	S
732a.jpg	2	1726	Hit	2	732	S
439a.jpg	3	3500	FA	3	439	S
51b.jpg	2	3338	FA	3	51	S
844b.jpg	1	3501	FA	4	844	V
306a.jpg	4	2077	FA	4	306	V
546b.jpg	4	2284	Hit	1	546	V
520a.jpg	2	2286	Hit	2	520	S
373b.jpg	1	2958	FA	4	373	V
339b.jpg	3	2808	Hit	2	339	S
861b.jpg	3	3721	Hit	2	861	S
679b.jpg	4	3224	Hit	1	679	V
469a.jpg	3	3978	FA	3	469	S
363b.jpg	1	2329	FA	4	363	V
847b.jpg	2	2075	FA	3	847	S
843b.jpg	3	2764	Hit	2	843	S
29b.jpg	2	1684	FA	3	29	S
496a.jpg	1	2694	Hit	1	496	V
1000b.jpg	4	2129	Hit	1	1000	V
838b.jpg	1	2914	FA	4	838	V
764a.jpg	4	2884	FA	4	764	V
582b.jpg	4	2174	Hit	1	582	V
417a.jpg	2	2591	Hit	2	417	S
550b.jpg	3	2648	Hit	2	550	S
452a.jpg	4	1789	FA	4	452	V
596b.jpg	3	3255	Hit	2	596	S
824a.jpg	2	2899	Hit	2	824	S
814a.jpg	1	4190	Hit	1	814	V
571b.jpg	1	2404	FA	4	571	V
521a.jpg	3	2828	FA	3	521	S
849b.jpg	2	2649	FA	3	849	S
518a.jpg	4	3098	FA	4	518	V
681a.jpg	4	1892	FA	4	681	V
454a.jpg	4	2844	FA	4	454	V
41b.jpg	3	2619	Hit	2	41	S
526a.jpg	1	2641	Hit	1	526	V
692a.jpg	2	3435	Hit	2	692	S
144a.jpg	4	3266	FA	4	144	V
757a.jpg	4	1973	FA	4	757	V
401a.jpg	4	2036	FA	4	401	V
