Stimulus	KeyPress	RT	Behavior	Image	StimType
448a.jpg	2	1492	Miss	448	Targ
41a.jpg	1	879	Hit	41	Targ
344a.jpg	1	1671	Hit	344	Targ
439a.jpg	2	2580	Miss	439	Targ
363a.jpg	1	1009	Hit	363	Targ
144a.jpg	1	1245	Hit	144	Targ
530b.jpg	2	2430	CR	530	Lure
24a.jpg	1	2320	Hit	24	Targ
1019b.jpg	1	1530	FA	1019	Lure
496b.jpg	2	1012	CR	496	Lure
412a.jpg	1	1729	Hit	412	Targ
83a.jpg	1	1068	Hit	83	Targ
661b.jpg	1	1517	FA	661	Lure
336a.jpg	NR	0	NR	336	Targ
9a.jpg	1	1749	Hit	9	Targ
380a.jpg	2	1024	Miss	380	Targ
844b.jpg	2	1852	CR	844	Lure
293a.jpg	1	934	Hit	293	Targ
867b.jpg	2	1858	CR	867	Lure
59a.jpg	1	1243	Hit	59	Targ
339a.jpg	2	2042	Miss	339	Targ
369a.jpg	1	1327	Hit	369	Targ
757b.jpg	2	1676	CR	757	Lure
32a.jpg	2	2636	Miss	32	Targ
722b.jpg	2	1928	CR	722	Lure
591b.jpg	1	2763	FA	591	Lure
68a.jpg	1	2062	Hit	68	Targ
571b.jpg	2	1058	CR	571	Lure
1227b.jpg	NR	0	NR	1227	Lure
632b.jpg	NR	0	NR	632	Lure
458a.jpg	1	1341	Hit	458	Targ
526b.jpg	1	1748	FA	526	Lure
605b.jpg	NR	0	NR	605	Lure
482b.jpg	2	2227	CR	482	Lure
481b.jpg	2	1319	CR	481	Lure
393a.jpg	1	1260	Hit	393	Targ
521b.jpg	1	2737	FA	521	Lure
845b.jpg	1	1074	FA	845	Lure
20a.jpg	2	1052	Miss	20	Targ
732b.jpg	2	1724	CR	732	Lure
441a.jpg	1	1413	Hit	441	Targ
830b.jpg	2	2336	CR	830	Lure
391a.jpg	2	1306	Miss	391	Targ
681b.jpg	NR	0	NR	681	Lure
388a.jpg	NR	0	NR	388	Targ
17a.jpg	NR	0	NR	17	Targ
373a.jpg	2	1250	Miss	373	Targ
490b.jpg	2	983	CR	490	Lure
843b.jpg	2	1200	CR	843	Lure
856b.jpg	2	1396	CR	856	Lure
51a.jpg	1	2266	Hit	51	Targ
502b.jpg	1	852	FA	502	Lure
527b.jpg	2	762	CR	527	Lure
753b.jpg	2	1101	CR	753	Lure
364a.jpg	2	1874	Miss	364	Targ
81a.jpg	NR	0	NR	81	Targ
1004b.jpg	1	934	FA	1004	Lure
833b.jpg	2	2465	CR	833	Lure
381a.jpg	2	945	Miss	381	Targ
422a.jpg	NR	0	NR	422	Targ
70a.jpg	NR	0	NR	70	Targ
444a.jpg	NR	0	NR	444	Targ
692b.jpg	1	695	FA	692	Lure
679b.jpg	2	1703	CR	679	Lure
53a.jpg	2	1676	Miss	53	Targ
352a.jpg	2	1450	Miss	352	Targ
494b.jpg	NR	0	NR	494	Lure
810b.jpg	NR	0	NR	810	Lure
782b.jpg	1	766	FA	782	Lure
620b.jpg	1	1724	FA	620	Lure
514b.jpg	1	2163	FA	514	Lure
596b.jpg	NR	0	NR	596	Lure
475b.jpg	1	696	FA	475	Lure
663b.jpg	NR	0	NR	663	Lure
835b.jpg	NR	0	NR	835	Lure
1088b.jpg	1	891	FA	1088	Lure
408a.jpg	2	2661	Miss	408	Targ
317a.jpg	2	1552	Miss	317	Targ
849b.jpg	NR	0	NR	849	Lure
232a.jpg	1	891	Hit	232	Targ
499b.jpg	2	2246	CR	499	Lure
535b.jpg	2	1218	CR	535	Lure
510b.jpg	2	1303	CR	510	Lure
111a.jpg	1	1693	Hit	111	Targ
340a.jpg	NR	0	NR	340	Targ
356a.jpg	1	2395	Hit	356	Targ
387a.jpg	1	870	Hit	387	Targ
406a.jpg	1	653	Hit	406	Targ
417a.jpg	1	836	Hit	417	Targ
454a.jpg	NR	0	NR	454	Targ
11a.jpg	1	1032	Hit	11	Targ
838b.jpg	NR	0	NR	838	Lure
324a.jpg	NR	0	NR	324	Targ
15a.jpg	1	377	Hit	15	Targ
332a.jpg	NR	0	NR	332	Targ
123a.jpg	NR	0	NR	123	Targ
42a.jpg	NR	0	NR	42	Targ
450a.jpg	1	1443	Hit	450	Targ
682b.jpg	2	1828	CR	682	Lure
541b.jpg	2	714	CR	541	Lure
349a.jpg	2	1610	Miss	349	Targ
764b.jpg	2	1376	CR	764	Lure
589b.jpg	NR	0	NR	589	Lure
292a.jpg	2	2164	Miss	292	Targ
453a.jpg	1	1133	Hit	453	Targ
38a.jpg	1	890	Hit	38	Targ
520b.jpg	NR	0	NR	520	Lure
797b.jpg	1	1489	FA	797	Lure
860b.jpg	2	1574	CR	860	Lure
550b.jpg	2	1873	CR	550	Lure
861b.jpg	NR	0	NR	861	Lure
710b.jpg	2	1649	CR	710	Lure
592b.jpg	2	1213	CR	592	Lure
30a.jpg	1	1289	Hit	30	Targ
117a.jpg	NR	0	NR	117	Targ
582b.jpg	NR	0	NR	582	Lure
1056b.jpg	1	1098	FA	1056	Lure
684b.jpg	1	821	FA	684	Lure
54a.jpg	NR	0	NR	54	Targ
23a.jpg	1	1126	Hit	23	Targ
452a.jpg	1	906	Hit	452	Targ
342a.jpg	NR	0	NR	342	Targ
812b.jpg	2	1533	CR	812	Lure
501b.jpg	1	1262	FA	501	Lure
579b.jpg	2	1177	CR	579	Lure
616b.jpg	2	1448	CR	616	Lure
315a.jpg	NR	0	NR	315	Targ
551b.jpg	NR	0	NR	551	Lure
431a.jpg	NR	0	NR	431	Targ
35a.jpg	1	2631	Hit	35	Targ
824b.jpg	2	784	CR	824	Lure
22a.jpg	NR	0	NR	22	Targ
55a.jpg	1	748	Hit	55	Targ
549b.jpg	NR	0	NR	549	Lure
576b.jpg	1	1224	FA	576	Lure
469a.jpg	2	1380	Miss	469	Targ
546b.jpg	NR	0	NR	546	Lure
563b.jpg	1	927	FA	563	Lure
565b.jpg	1	1727	FA	565	Lure
837b.jpg	2	1345	CR	837	Lure
177a.jpg	NR	0	NR	177	Targ
696b.jpg	NR	0	NR	696	Lure
544b.jpg	1	920	FA	544	Lure
366a.jpg	2	1100	Miss	366	Targ
853b.jpg	NR	0	NR	853	Lure
827b.jpg	1	1734	FA	827	Lure
319a.jpg	NR	0	NR	319	Targ
786b.jpg	NR	0	NR	786	Lure
396a.jpg	NR	0	NR	396	Targ
474b.jpg	NR	0	NR	474	Lure
31a.jpg	NR	0	NR	31	Targ
63a.jpg	1	1625	Hit	63	Targ
606b.jpg	2	2332	CR	606	Lure
413a.jpg	NR	0	NR	413	Targ
331a.jpg	NR	0	NR	331	Targ
427a.jpg	1	2261	Hit	427	Targ
588b.jpg	NR	0	NR	588	Lure
467a.jpg	NR	0	NR	467	Targ
713b.jpg	NR	0	NR	713	Lure
518b.jpg	NR	0	NR	518	Lure
847b.jpg	2	1164	CR	847	Lure
401a.jpg	1	1202	Hit	401	Targ
110a.jpg	NR	0	NR	110	Targ
248a.jpg	NR	0	NR	248	Targ
851b.jpg	NR	0	NR	851	Lure
334a.jpg	1	1049	Hit	334	Targ
375a.jpg	2	2183	Miss	375	Targ
545b.jpg	2	1307	CR	545	Lure
457a.jpg	NR	0	NR	457	Targ
390a.jpg	NR	0	NR	390	Targ
386a.jpg	2	2406	Miss	386	Targ
725b.jpg	1	1047	FA	725	Lure
540b.jpg	2	763	CR	540	Lure
112a.jpg	NR	0	NR	112	Targ
297a.jpg	NR	0	NR	297	Targ
418a.jpg	2	1594	Miss	418	Targ
121a.jpg	2	853	Miss	121	Targ
775b.jpg	1	1849	FA	775	Lure
834b.jpg	NR	0	NR	834	Lure
729b.jpg	NR	0	NR	729	Lure
306a.jpg	1	919	Hit	306	Targ
700b.jpg	2	1093	CR	700	Lure
443a.jpg	NR	0	NR	443	Targ
1148b.jpg	NR	0	NR	1148	Lure
654b.jpg	2	696	CR	654	Lure
1000b.jpg	NR	0	NR	1000	Lure
49a.jpg	NR	0	NR	49	Targ
166a.jpg	NR	0	NR	166	Targ
539b.jpg	1	2213	FA	539	Lure
124a.jpg	1	618	Hit	124	Targ
854b.jpg	1	924	FA	854	Lure
488b.jpg	NR	0	NR	488	Lure
464a.jpg	NR	0	NR	464	Targ
29a.jpg	1	762	Hit	29	Targ
548b.jpg	2	1291	CR	548	Lure
1031b.jpg	NR	0	NR	1031	Lure
814b.jpg	NR	0	NR	814	Lure
378a.jpg	NR	0	NR	378	Targ
437a.jpg	1	2651	Hit	437	Targ
61a.jpg	1	809	Hit	61	Targ
