Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
117a.jpg	2	160	Hit-Hit	2	117	S
123a.jpg	3	163	Hit-FA	3	123	S
306a.jpg	1	65	Hit-Hit	1	306	V
1056b.jpg	4	67	CR-Hit	1	1056	V
860b.jpg	2	110	CR-FA	3	860	S
1019b.jpg	4	148	FA-Hit	1	1019	V
844b.jpg	3	97	CR-Hit	2	844	S
854b.jpg	2	99	CR-FA	3	854	S
378b.jpg	4	78	Hit-Hit	1	378	V
514a.jpg	3	175	FA-FA	3	514	S
441a.jpg	1	42	Hit-Hit	1	441	V
63b.jpg	1	125	Miss-FA	4	63	V
439a.jpg	1	54	Miss-Hit	1	439	V
375b.jpg	4	40	Hit-Hit	1	375	V
427a.jpg	2	174	Hit-Hit	2	427	S
713a.jpg	3	87	FA-FA	3	713	S
1088b.jpg	3	147	CR-Hit	2	1088	S
592b.jpg	3	84	CR-Hit	2	592	S
845b.jpg	4	112	CR-Hit	1	845	V
453a.jpg	1	68	Hit-Hit	1	453	V
297a.jpg	1	164	Hit-Hit	1	297	V
32b.jpg	3	171	Hit-Hit	2	32	S
35b.jpg	4	113	Hit-Hit	1	35	V
488a.jpg	3	182	FA-FA	3	488	S
319a.jpg	1	109	Hit-Hit	1	319	V
443a.jpg	2	79	Miss-Hit	2	443	S
112a.jpg	1	24	Hit-Hit	1	112	V
340b.jpg	4	7	Hit-Hit	1	340	V
324a.jpg	1	21	Hit-Hit	1	324	V
17b.jpg	3	81	Hit-Hit	2	17	S
546b.jpg	1	3	CR-FA	4	546	V
412a.jpg	3	173	Hit-FA	3	412	S
388b.jpg	4	95	Miss-Hit	1	388	V
352b.jpg	3	73	Hit-Hit	2	352	S
315a.jpg	2	111	Miss-Hit	2	315	S
51b.jpg	2	107	Hit-FA	3	51	S
1148b.jpg	3	145	FA-Hit	2	1148	S
616b.jpg	2	185	FA-FA	3	616	S
551b.jpg	2	152	FA-FA	3	551	S
474a.jpg	3	52	CR-FA	3	474	S
867b.jpg	4	23	FA-Hit	1	867	V
540a.jpg	4	71	FA-FA	4	540	V
834b.jpg	1	148	FA-FA	4	834	V
20b.jpg	4	6	Hit-Hit	1	20	V
373b.jpg	3	115	Hit-Hit	2	373	S
53b.jpg	4	138	Hit-Hit	1	53	V
732a.jpg	3	93	FA-FA	3	732	S
464a.jpg	1	32	Hit-Hit	1	464	V
520a.jpg	2	114	CR-Hit	2	520	S
22b.jpg	4	163	Hit-Hit	1	22	V
596b.jpg	3	128	CR-Hit	2	596	S
579b.jpg	3	17	FA-Hit	2	579	S
41b.jpg	4	121	Hit-Hit	1	41	V
535a.jpg	3	131	CR-FA	3	535	S
838b.jpg	4	22	FA-Hit	1	838	V
582b.jpg	4	89	CR-Hit	1	582	V
861b.jpg	2	170	FA-FA	3	861	S
571b.jpg	4	188	CR-Hit	1	571	V
29b.jpg	2	114	Hit-FA	3	29	S
681a.jpg	3	83	FA-FA	3	681	S
588b.jpg	4	20	CR-Hit	1	588	V
9b.jpg	2	158	Hit-FA	3	9	S
83a.jpg	2	156	Hit-Hit	2	83	S
544a.jpg	3	133	CR-FA	3	544	S
549b.jpg	3	61	CR-Hit	2	549	S
679b.jpg	4	15	CR-Hit	1	679	V
144a.jpg	2	86	Hit-Hit	2	144	S
54b.jpg	4	33	Hit-Hit	1	54	V
764a.jpg	2	119	CR-Hit	2	764	S
339b.jpg	2	137	Miss-FA	3	339	S
454a.jpg	3	88	Miss-FA	3	454	S
401a.jpg	3	154	Miss-FA	3	401	S
518a.jpg	2	151	FA-Hit	2	518	S
757a.jpg	1	123	CR-Hit	1	757	V
824a.jpg	2	153	FA-Hit	2	824	S
849b.jpg	4	2	CR-Hit	1	849	V
814a.jpg	2	171	FA-Hit	2	814	S
696a.jpg	2	179	FA-Hit	2	696	S
248a.jpg	2	159	Hit-Hit	2	248	S
469a.jpg	2	169	Miss-Hit	2	469	S
496a.jpg	1	120	CR-Hit	1	496	V
499a.jpg	1	184	CR-Hit	1	499	V
851b.jpg	4	6	CR-Hit	1	851	V
364b.jpg	3	144	Hit-Hit	2	364	S
363b.jpg	4	92	Hit-Hit	1	363	V
349b.jpg	3	35	Hit-Hit	2	349	S
521a.jpg	3	126	FA-FA	3	521	S
810a.jpg	2	63	FA-Hit	2	810	S
526a.jpg	3	44	FA-FA	3	526	S
847b.jpg	2	118	FA-FA	3	847	S
59b.jpg	3	101	Hit-Hit	2	59	S
452a.jpg	1	90	Hit-Hit	1	452	V
