Stimulus	KeyPress	RT	Behavior	Image	StimType
157	2	125	Miss-Hit	68	Targ
114	2	130	CR-Hit	526	Lure
85	1	62	Hit-FA	444	Targ
66	2	118	Miss-Hit	391	Targ
87	1	44	Hit-FA	450	Targ
12	1	117	Hit-Hit	11	Targ
182	2	181	CR-Hit	833	Lure
22	1	158	Hit-Hit	20	Targ
167	2	94	CR-FA	732	Lure
152	2	26	CR-Hit	663	Lure
101	1	89	FA-Hit	490	Lure
139	1	66	FA-FA	591	Lure
196	2	50	CR-FA	856	Lure
142	1	46	Hit-Hit	59	Targ
111	1	48	Hit-Hit	51	Targ
133	1	17	FA-FA	571	Lure
172	2	68	CR-Hit	782	Lure
18	1	2	Hit-Hit	15	Targ
169	2	23	CR-Hit	757	Lure
59	1	55	Hit-Hit	380	Targ
189	2	65	CR-FA	844	Lure
63	1	6	Hit-Hit	388	Targ
178	2	33	Miss-Hit	81	Targ
71	1	7	Hit-Hit	408	Targ
21	2	21	Miss-Hit	17	Targ
154	2	102	CR-FA	681	Lure
76	1	59	Hit-Hit	41	Targ
102	2	38	CR-Hit	494	Lure
104	1	37	FA-FA	499	Lure
175	2	4	CR-Hit	810	Lure
62	2	51	Miss-Hit	387	Targ
70	1	28	Hit-Hit	406	Targ
56	1	154	Hit-Hit	373	Targ
186	2	18	CR-Hit	838	Lure
161	1	82	Hit-Hit	70	Targ
60	1	3	Hit-Hit	381	Targ
168	2	171	CR-Hit	753	Lure
53	2	52	Miss-Hit	364	Targ
38	1	177	Hit-FA	324	Targ
151	2	77	CR-FA	661	Lure
119	1	173	Hit-Hit	53	Targ
115	1	166	FA-FA	527	Lure
99	2	42	CR-Hit	482	Lure
15	1	176	Hit-NR	123	Targ
55	1	20	Hit-Hit	369	Targ
44	2	105	Miss-Hit	339	Targ
184	2	54	CR-FA	835	Lure
181	1	9	FA-Hit	830	Lure
148	1	172	FA-Hit	632	Lure
52	2	163	Miss-Hit	363	Targ
108	2	165	CR-Hit	510	Lure
35	1	152	Hit-Hit	317	Targ
107	1	110	FA-FA	502	Lure
27	2	15	Miss-Hit	24	Targ
147	1	49	FA-FA	620	Lure
141	1	115	FA-Hit	596	Lure
86	1	74	Hit-Hit	448	Targ
77	1	70	Hit-Hit	422	Targ
8	1	88	Hit-Hit	111	Targ
14	1	96	FA-Hit	1227	Lure
41	2	36	Miss-FA	332	Targ
116	12	123	CR-FA	530	Lure
113	2	72	CR-FA	521	Lure
92	1	138	Hit-Hit	458	Targ
188	2	85	CR-Hit	843	Lure
98	2	129	CR-Hit	481	Lure
190	2	14	CR-FA	845	Lure
117	1	147	FA-FA	535	Lure
24	1	61	Hit-Hit	232	Targ
103	2	100	CR-Hit	496	Lure
164	2	131	CR-Hit	722	Lure
83	1	12	Hit-Hit	441	Targ
29	1	168	Hit-Hit	293	Targ
43	1	69	Hit-Hit	336	Targ
192	2	170	CR-Hit	849	Lure
79	1	92	Hit-Hit	42	Targ
109	1	43	FA-Hit	514	Lure
67	1	45	Hit-Hit	393	Targ
97	1	134	FA-Hit	475	Lure
74	1	101	Hit-Hit	417	Targ
72	1	150	Hit-Hit	412	Targ
90	1	122	Hit-Hit	454	Targ
3	2	63	CR-Hit	1019	Lure
153	1	95	FA-FA	679	Lure
2	2	35	CR-Hit	1004	Lure
143	2	99	CR-FA	605	Lure
39	2	114	Miss-Hit	32	Targ
6	2	127	CR-Hit	1088	Lure
47	1	164	Hit-Hit	344	Targ
158	1	165	FA-FA	692	Lure
216	1	109	Hit-Hit	9	Targ
17	1	121	Hit-Hit	144	Targ
82	1	151	Hit-FA	439	Targ
50	NR	1	NR-FA	356	Targ
155	NR	1	NR-FA	682	Lure
187	1	161	Hit-Hit	83	Targ
49	1	6	Hit-Hit	352	Targ
199	1	183	FA-FA	867	Lure
45	1	156	Hit-Hit	340	Targ
121	2	116	CR-Hit	541	Lure
144	1	140	FA-Hit	606	Lure
69	1	167	Hit-Hit	401	Targ
94	1	13	Hit-FA	467	Targ
126	2	182	CR-Hit	549	Lure
7	2	107	Miss-FA	110	Targ
32	1	149	Hit-Hit	306	Targ
46	2	47	Miss-FA	342	Targ
31	2	104	Miss-FA	29	Targ
123	1	16	FA-FA	545	Lure
138	2	133	CR-FA	589	Lure
30	1	175	Hit-Hit	297	Targ
34	1	178	Hit-Hit	315	Targ
68	2	106	Miss-Hit	396	Targ
197	1	103	FA-Hit	860	Lure
149	1	33	Hit-Hit	63	Targ
20	1	64	Hit-Hit	177	Targ
174	1	79	FA-Hit	797	Lure
19	1	157	Hit-Hit	166	Targ
195	1	76	FA-FA	854	Lure
84	2	53	Miss-Hit	443	Targ
125	2	88	CR-Hit	548	Lure
42	1	91	Hit-FA	334	Targ
11	1	39	Hit-Hit	117	Targ
191	2	179	CR-Hit	847	Lure
9	1	71	Hit-FA	112	Targ
162	1	57	FA-FA	710	Lure
194	1	124	FA-FA	853	Lure
120	2	97	CR-Hit	540	Lure
61	1	148	Hit-Hit	386	Targ
78	1	111	Hit-Hit	427	Targ
73	1	120	Hit-Hit	413	Targ
171	2	83	CR-FA	775	Lure
145	2	113	CR-Hit	616	Lure
75	1	126	Hit-Hit	418	Targ
159	1	34	FA-Hit	696	Lure
129	2	73	CR-Hit	551	Lure
105	NR	1	NR-Hit	49	Targ
185	1	143	FA-FA	837	Lure
58	1	142	Hit-FA	378	Targ
112	1	141	FA-Hit	520	Lure
80	1	145	Hit-Hit	431	Targ
127	1	128	Hit-Hit	54	Targ
25	2	159	Miss-FA	23	Targ
166	1	22	FA-FA	729	Lure
1	2	81	CR-Hit	1000	Lure
130	1	10	Hit-Hit	55	Targ
131	1	80	FA-FA	563	Lure
89	1	155	Hit-Hit	453	Targ
93	1	174	Hit-Hit	464	Targ
150	1	27	FA-FA	654	Lure
146	2	29	Miss-Hit	61	Targ
40	1	75	Hit-FA	331	Targ
156	1	180	FA-Hit	684	Lure
23	2	36	Miss-FA	22	Targ
134	1	35	FA-FA	576	Lure
124	1	60	FA-FA	546	Lure
110	1	56	FA-FA	518	Lure
57	1	67	Hit-Hit	375	Targ
100	2	128	CR-Hit	488	Lure
54	1	146	Hit-Hit	366	Targ
136	2	58	CR-FA	582	Lure
128	2	136	CR-FA	550	Lure
118	2	30	CR-Hit	539	Lure
198	1	19	FA-Hit	861	Lure
33	2	43	Miss-Hit	30	Targ
163	NR	1	NR-FA	713	Lure
95	1	144	Hit-FA	469	Targ
180	12	135	CR-Hit	827	Lure
13	1	119	Hit-Hit	121	Targ
137	2	84	CR-NR	588	Lure
106	2	32	CR-FA	501	Lure
